id_municipio,municipio_nome,id_ar,id_gaema,id_rp,id_pjreg,id_gaeco,id_gaeco_mun
3504701,Balbinos,2,,8,17,0,3
3504800,Bálsamo,13,,7,16,0,12
3504909,Bananal,15,1,,3,14,14
3505005,Barão de Antonina,14,,6,15,0,13
3505104,Barbosa,1,,10,19,0,2
3505203,Bariri,2,,5,14,3,3
3505302,Barra Bonita,2,,5,14,3,3
3505351,Barra do Chapéu,14,2,,2,0,13
3505401,Barra do Turvo,16,2,,2,0,11
3505500,Barretos,13,,4,13,12,12
3505609,Barrinha,11,5,,1,0,10
3505708,Barueri,7,,13,22,5,5
3505807,Bastos,10,,11,20,9,9
3505906,Batatais,5,,2,12,6,6
3506003,Bauru,2,,8,17,3,3
3506102,Bebedouro,11,,4,13,10,10
3506201,Bento de Abreu,1,,10,19,0,2
3506300,Bernardino de Campos,2,,6,15,0,3
3506359,Bertioga,12,3,,4,11,11
3506409,Bilac,1,,10,19,2,2
3506508,Birigui,1,,10,19,2,2
3506607,Biritiba-Mirim,8,8,,8,0,7
3506706,Boa Esperança do Sul,11,,5,14,0,10
3506805,Bocaina,2,,5,14,0,3
3506904,Bofete,9,12,,11,0,8
3507001,Boituva,14,12,,11,13,13
3507100,Bom Jesus dos Perdões,3,10,,9,0,4
3507159,Bom Sucesso de Itararé,14,,6,15,0,13
3507209,Borá,10,7,,7,0,9
3507308,Boracéia,2,,5,14,0,3
3507407,Borborema,2,,8,17,3,3
3507456,Borebi,2,,5,14,0,3
3507506,Botucatu,2,12,,11,3,3
3507605,Bragança Paulista,3,10,,9,4,4
3507704,Braúna,1,,10,19,0,2
3507753,Brejo Alegre,1,,10,19,0,2
3507803,Brodowski,11,5,,1,10,10
3507902,Brotas,9,,5,14,8,8
3508009,Buri,14,,6,15,13,13
3508108,Buritama,1,,10,19,2,2
3508207,Buritizal,5,,2,12,0,6
3508306,Cabrália Paulista,2,7,,7,0,3
3508405,Cabreúva,14,12,,11,13,13
3508504,Caçapava,15,1,,3,14,14
3508603,Cachoeira Paulista,15,1,,3,14,14
3508702,Caconde,11,5,,1,10,10
3508801,Cafelândia,1,,8,17,2,2
3508900,Caiabu,10,6,,6,0,9
3509007,Caieiras,7,8,,8,5,5
3509106,Caiuá,10,6,,6,0,9
3509205,Cajamar,7,8,,8,5,5
3509254,Cajati,16,2,,2,0,11
3509304,Cajobi,13,,7,16,0,12
3509403,Cajuru,11,5,,1,10,10
3509452,Campina do Monte Alegre,14,,6,15,0,13
3509502,Campinas,3,9,,9,4,4
3509601,Campo Limpo Paulista,8,9,,9,4,4
3509700,Campos do Jordão,15,,1,3,14,14
3509809,Campos Novos Paulista,2,7,,7,0,3
3509908,Cananéia,16,2,,2,11,11
3509957,Canas,15,1,,3,0,14
3510005,Cândido Mota,10,7,,7,9,9
3510104,Cândido Rodrigues,11,,8,17,0,10
3510153,Canitar,2,7,,7,0,3
3510203,Capão Bonito,14,,6,15,13,13
3510302,Capela do Alto,14,12,,11,0,13
3510401,Capivari,9,11,,10,8,8
3510500,Caraguatatuba,15,4,,5,14,14
3510609,Carapicuíba,7,,13,22,5,5
3510708,Cardoso,13,,7,16,12,12
3510807,Casa Branca,11,5,,1,10,10
3510906,Cássia dos Coqueiros,11,5,,1,0,10
3511003,Castilho,1,,10,19,0,2
3511102,Catanduva,13,,7,16,12,12
3511201,Catiguá,13,,7,16,0,12
3511300,Cedral,13,,7,16,0,12
3511409,Cerqueira César,2,,6,15,3,3
3511508,Cerquilho,9,12,,11,8,8
3511607,Cesário Lange,14,12,,11,0,13
3511706,Charqueada,9,11,,10,0,8
3511904,Clementina,1,,10,19,0,2
3512001,Colina,13,,4,13,12,12
3512100,Colômbia,13,,4,13,0,12
3512209,Conchal,3,,15,23,4,4
3512308,Conchas,9,12,,11,8,8
3512407,Cordeirópolis,9,11,,10,8,8
3512506,Coroados,1,,10,19,0,2
3512605,Coronel Macedo,2,,6,15,0,3
3512704,Corumbataí,9,11,,10,0,8
3512803,Cosmópolis,3,9,,9,4,4
3512902,Cosmorama,13,,7,16,0,12
3513009,Cotia,7,,13,22,5,5
3513108,Cravinhos,11,5,,1,10,10
3513207,Cristais Paulista,5,,2,12,0,6
3513306,Cruzália,10,7,,7,0,9
3513405,Cruzeiro,15,1,,3,14,14
3513504,Cubatão,12,3,,4,11,11
3513603,Cunha,15,1,,3,14,14
3513702,Descalvado,11,,16,24,10,10
3513801,Diadema,6,,12,21,1,1
3513850,Dirce Reis,13,,9,18,0,12
3513900,Divinolândia,11,5,,1,0,10
3514007,Dobrada,11,,8,17,0,10
3514106,Dois Córregos,2,,5,14,3,3
3514205,Dolcinópolis,13,,7,16,0,12
3514304,Dourado,11,,5,14,0,10
3514403,Dracena,10,,11,20,9,9
3514502,Duartina,2,7,,7,3,3
3514601,Dumont,11,5,,1,0,10
3514700,Echaporã,10,7,,7,0,9
3514809,Eldorado,16,2,,2,11,11
3514908,Elias Fausto,3,9,,9,0,4
3514924,Elisiário,13,,7,16,0,12
3514957,Embaúba,13,,7,16,0,12
3515004,Embu,7,,13,22,5,5
3515103,Embu-Guaçu,7,,13,22,5,5
3515129,Emilianópolis,10,6,,6,0,9
3515152,Engenheiro Coelho,3,9,,23,0,4
3515186,Espírito Santo do Pinhal,3,,14,23,4,4
3515194,Espírito Santo do Turvo,2,7,,7,0,3
3515202,'Estrela d''Oeste',13,,7,16,12,12
3515301,Estrela do Norte,10,6,,6,0,9
3515350,Euclides da Cunha Paulista,10,6,,6,0,9
3515400,Fartura,2,,6,15,3,3
3515509,Fernandópolis,13,,7,16,12,12
3515608,Fernando Prestes,11,,8,17,0,10
3515657,Fernão,2,7,,7,0,3
3515707,Ferraz de Vasconcelos,8,,12,8,7,7
3515806,Flora Rica,10,,11,20,0,9
3515905,Floreal,13,,9,18,0,12
3516002,Flórida Paulista,10,,11,20,9,9
3516101,Florínia,10,7,,7,0,9
3516200,Franca,5,,2,12,6,6
3516309,Francisco Morato,7,8,,8,5,5
3516408,Franco da Rocha,7,8,,8,5,5
3516507,Gabriel Monteiro,1,,10,19,0,2
3516606,Gália,2,7,,7,3,3
3516705,Garça,2,,11,20,3,3
3516804,Gastão Vidigal,13,,9,18,0,12
3516853,Gavião Peixoto,11,,16,24,0,10
3516903,General Salgado,13,,9,18,12,12
3517000,Getulina,1,,11,20,2,2
3517109,Glicério,1,,10,19,0,2
3517208,Guaiçara,1,,8,17,0,2
3517307,Guaimbê,1,,11,20,0,2
3517406,Guaíra,13,,4,13,6,6
3517505,Guapiaçu,13,,7,16,0,12
3517604,Guapiara,14,,6,15,0,13
3517703,Guará,5,,2,12,6,6
3517802,Guaraçaí,1,,10,19,0,2
3517901,Guaraci,13,,7,16,0,12
3518008,'Guarani d''Oeste',13,,7,16,0,12
3518107,Guarantã,1,,8,17,0,2
3518206,Guararapes,1,,10,19,2,2
3518305,Guararema,8,1,,3,7,7
3518404,Guaratinguetá,15,1,,3,14,14
3518503,Guareí,14,12,,11,0,8
3518602,Guariba,11,,16,24,10,10
3518701,Guarujá,12,3,,4,11,11
3518800,Guarulhos,8,8,,8,7,7
3518859,Guatapará,11,5,,1,0,10
3518909,Guzolândia,13,,9,18,0,12
3519006,Herculândia,10,,11,20,0,9
3519055,Holambra,3,9,,9,0,4
3519071,Hortolândia,3,9,,9,4,4
3519105,Iacanga,2,,5,14,3,3
3519204,Iacri,10,,11,20,0,9
3519253,Iaras,2,,6,15,0,3
3519303,Ibaté,11,,16,24,10,10
3519402,Ibirá,13,,7,16,0,12
3519501,Ibirarema,2,7,,7,0,3
3519600,Ibitinga,2,,5,14,3,3
3519709,Ibiúna,14,12,,11,13,13
3519808,Icém,13,,7,16,0,12
3519907,Iepê,10,6,,6,9,9
3520004,Igaraçu do Tietê,2,,5,14,0,3
3520103,Igarapava,5,,2,12,6,6
3520202,Igaratá,8,1,,3,0,7
3520301,Iguape,16,2,,2,11,11
3520400,Ilhabela,15,4,,5,14,14
3520426,Ilha Comprida,16,2,,2,0,11
3520442,Ilha Solteira,1,,9,18,2,2
3520509,Indaiatuba,3,9,,9,4,4
3520608,Indiana,10,6,,6,0,9
3520707,Indiaporã,13,,7,16,0,12
3520806,Inúbia Paulista,10,,11,20,0,9
3520905,Ipaussu,2,,6,15,3,3
3521002,Iperó,14,12,,11,0,13
3521101,Ipeúna,9,11,,10,0,8
3521150,Ipiguá,13,,7,16,0,12
3521200,Iporanga,16,2,,2,0,11
3521309,Ipuã,5,,2,12,6,6
3521408,Iracemápolis,9,11,,10,0,8
3521507,Irapuã,13,,8,17,0,12
3521606,Irapuru,10,,11,20,0,9
3521705,Itaberá,14,,6,15,13,13
3521804,Itaí,2,,6,15,3,3
3521903,Itajobi,13,,8,17,12,12
3522000,Itaju,2,,5,14,0,3
3522109,Itanhaém,12,3,,4,11,11
3522158,Itaóca,14,2,,2,0,13
3522208,Itapecerica da Serra,7,,13,22,5,5
3522307,Itapetininga,14,,6,15,13,13
3522406,Itapeva,14,,6,15,13,13
3522505,Itapevi,7,,13,22,5,5
3522604,Itapira,3,,14,23,4,4
3522653,Itapirapuã Paulista,14,2,,2,0,13
3522703,Itápolis,2,,8,17,3,3
3522802,Itaporanga,14,,6,15,13,13
3522901,Itapuí,2,,5,14,0,3
3523008,Itapura,1,,9,18,0,2
3523107,Itaquaquecetuba,8,8,,8,7,7
3523206,Itararé,14,,6,15,13,13
3523305,Itariri,16,2,,2,0,11
3523404,Itatiba,3,9,,9,4,4
3523503,Itatinga,2,,6,15,3,3
3523602,Itirapina,9,11,,10,8,8
3523701,Itirapuã,5,,2,12,0,6
3523800,Itobi,11,5,,1,0,10
3523909,Itu,14,12,,11,13,13
3524006,Itupeva,3,9,,9,4,4
3524105,Ituverava,5,,2,12,6,6
3524204,Jaborandi,13,,4,13,0,12
3524303,Jaboticabal,11,,16,24,10,10
3524402,Jacareí,15,1,,3,14,14
3524501,Jaci,13,,7,16,0,12
3524600,Jacupiranga,16,2,,2,11,11
3524709,Jaguariúna,3,9,,9,4,4
3524808,Jales,13,,9,18,12,12
3524907,Jambeiro,15,1,,3,0,14
3525003,Jandira,7,,13,22,5,5
3525102,Jardinópolis,11,5,,1,10,10
3525201,Jarinu,3,10,,9,4,4
3525300,Jaú,2,,5,14,3,3
3525409,Jeriquara,5,,2,12,0,6
3525508,Joanópolis,3,10,,9,0,4
3525607,João Ramalho,2,,11,20,0,9
3525706,José Bonifácio,13,,10,19,12,12
3525805,Júlio Mesquita,1,,8,17,0,2
3525854,Jumirim,14,12,,11,0,13
3525904,Jundiaí,3,9,,9,4,4
3526001,Junqueirópolis,10,,11,20,9,9
3526100,Juquiá,16,2,,2,11,11
3526209,Juquitiba,7,,13,22,0,5
3526308,Lagoinha,15,1,,3,0,14
3526407,Laranjal Paulista,9,12,,11,8,8
3526506,Lavínia,1,,10,19,0,2
3526605,Lavrinhas,15,1,,3,0,14
3526704,Leme,9,,15,23,8,8
3526803,Lençóis Paulista,2,,5,14,3,3
3526902,Limeira,9,11,,10,8,8
3527009,Lindóia,3,,14,23,0,4
3527108,Lins,1,,8,17,2,2
