id_municipio,municipio_nome,id_ar,id_gaema,id_rp,id_pjreg,id_gaeco,id_gaeco_mun
3555356,Ubarana,13,,10,19,0,12
3555406,Ubatuba,15,4,,5,14,14
3555505,Ubirajara,2,7,,7,0,3
3555604,Uchoa,13,,7,16,0,12
3555703,União Paulista,13,,9,18,0,12
3555802,Urânia,13,,9,18,12,12
3555901,Uru,2,,8,17,0,3
3556008,Urupês,13,,8,17,12,12
3556107,Valentim Gentil,13,,7,16,0,12
3556206,Valinhos,3,9,,9,4,4
3556305,Valparaíso,1,,10,19,2,2
3556354,Vargem,3,10,,9,0,4
3556404,Vargem Grande do Sul,3,5,,1,4,4
3556453,Vargem Grande Paulista,7,,13,22,5,5
3556503,Várzea Paulista,3,9,,9,4,4
3556602,Vera Cruz,2,,11,20,0,3
3556701,Vinhedo,3,9,,9,4,4
3556800,Viradouro,11,,4,13,10,10
3556909,Vista Alegre do Alto,11,,7,16,0,10
3556958,Vitória Brasil,13,,9,18,0,12
3557006,Votorantim,14,12,,11,13,13
3557105,Votuporanga,13,,7,16,12,12
3557154,Zacarias,1,,10,19,0,2
3557204,Chavantes,2,7,,7,3,3
3557303,Estiva Gerbi,3,,15,23,0,4
