id_municipio,municipio_nome,arearegional,id_gaema,id_redeprotetiva
3556206,Valinhos,Campinas,9,
3556305,Valparaíso,Araçatuba,,10
3556354,Vargem,Campinas,10,
3556404,Vargem Grande do Sul,Campinas,5,
3556453,Vargem Grande Paulista,Grande São Paulo II,,13
3556503,Várzea Paulista,Campinas,9,
3556602,Vera Cruz,Bauru,,11
3556701,Vinhedo,Campinas,9,
3556800,Viradouro,Ribeirão Preto,,4
3556909,Vista Alegre do Alto,Ribeirão Preto,,7
3556958,Vitória Brasil,São José do Rio Preto,,9
3557006,Votorantim,Sorocaba,12,
3557105,Votuporanga,São José do Rio Preto,,7
3557154,Zacarias,Araçatuba,,10
