id_municipio,municipio_nome,arearegional,id_gaema,id_redeprotetiva
3513306,Cruzália,Presidente Prudente,7,
3513405,Cruzeiro,Taubaté,1,
3513504,Cubatão,Santos,3,
3513603,Cunha,Taubaté,1,
3513702,Descalvado,Ribeirão Preto,,16
3513801,Diadema,Grande São Paulo I,,12
3513850,Dirce Reis,São José do Rio Preto,,9
3513900,Divinolândia,Ribeirão Preto,5,
3514007,Dobrada,Ribeirão Preto,,8
3514106,Dois Córregos,Bauru,,5
3514205,Dolcinópolis,São José do Rio Preto,,7
3514304,Dourado,Ribeirão Preto,,5
3514403,Dracena,Presidente Prudente,,11
3514502,Duartina,Bauru,7,
3514601,Dumont,Ribeirão Preto,5,
3514700,Echaporã,Presidente Prudente,7,
3514809,Eldorado,Vale do Ribeira,2,
3514908,Elias Fausto,Campinas,9,
3514924,Elisiário,São José do Rio Preto,,7
3514957,Embaúba,São José do Rio Preto,,7
3515004,Embu,Grande São Paulo II,,13
3515103,Embu-Guaçu,Grande São Paulo II,,13
3515129,Emilianópolis,Presidente Prudente,6,
3515152,Engenheiro Coelho,Campinas,9,
3515186,Espírito Santo do Pinhal,Campinas,,14
3515194,Espírito Santo do Turvo,Bauru,7,
3557303,Estiva Gerbi,Campinas,,15
3515202,Estrela d'Oeste,São José do Rio Preto,,7
3515301,Estrela do Norte,Presidente Prudente,6,
3515350,Euclides da Cunha Paulista,Presidente Prudente,6,
3515400,Fartura,Bauru,,6
3515608,Fernando Prestes,Ribeirão Preto,,8
3515509,Fernandópolis,São José do Rio Preto,,7
3515657,Fernão,Bauru,7,
3515707,Ferraz de Vasconcelos,Grande São Paulo III,,12
3515806,Flora Rica,Presidente Prudente,,11
3515905,Floreal,São José do Rio Preto,,9
3516002,Flórida Paulista,Presidente Prudente,,11
3516101,Florínia,Presidente Prudente,7,
3516200,Franca,Franca,,2
3516309,Francisco Morato,Grande São Paulo II,8,
3516408,Franco da Rocha,Grande São Paulo II,8,
3516507,Gabriel Monteiro,Araçatuba,,10
3516606,Gália,Bauru,7,
3516705,Garça,Bauru,,11
3516804,Gastão Vidigal,São José do Rio Preto,,9
3516853,Gavião Peixoto,Ribeirão Preto,,16
3516903,General Salgado,São José do Rio Preto,,9
3517000,Getulina,Araçatuba,,11
3517109,Glicério,Araçatuba,,10
3517208,Guaiçara,Araçatuba,,8
3517307,Guaimbê,Araçatuba,,11
3517406,Guaíra,São José do Rio Preto,,4
3517505,Guapiaçu,São José do Rio Preto,,7
3517604,Guapiara,Sorocaba,,6
3517703,Guará,Franca,,2
3517802,Guaraçaí,Araçatuba,,10
3517901,Guaraci,São José do Rio Preto,,7
3518008,Guarani d'Oeste,São José do Rio Preto,,7
3518107,Guarantã,Araçatuba,,8
3518206,Guararapes,Araçatuba,,10
3518305,Guararema,Grande São Paulo III,1,
3518404,Guaratinguetá,Taubaté,1,
3518503,Guareí,Sorocaba,12,
3518602,Guariba,Ribeirão Preto,,16
3518701,Guarujá,Santos,3,
3518800,Guarulhos,Grande São Paulo III,8,
3518859,Guatapará,Ribeirão Preto,5,
3518909,Guzolândia,São José do Rio Preto,,9
3519006,Herculândia,Presidente Prudente,,11
3519055,Holambra,Campinas,9,
3519071,Hortolândia,Campinas,9,
3519105,Iacanga,Bauru,,5
3519204,Iacri,Presidente Prudente,,11
3519253,Iaras,Bauru,,6
3519303,Ibaté,Ribeirão Preto,,16
3519402,Ibirá,São José do Rio Preto,,7
3519501,Ibirarema,Bauru,7,
3519600,Ibitinga,Bauru,,5
3519709,Ibiúna,Sorocaba,12,
3519808,Icém,São José do Rio Preto,,7
3519907,Iepê,Presidente Prudente,6,
3520004,Igaraçu do Tietê,Bauru,,5
3520103,Igarapava,Franca,,2
3520202,Igaratá,Grande São Paulo III,1,
3520301,Iguape,Vale do Ribeira,2,
3520426,Ilha Comprida,Vale do Ribeira,2,
3520442,Ilha Solteira,Araçatuba,,9
3520400,Ilhabela,Taubaté,4,
3520509,Indaiatuba,Campinas,9,
3520608,Indiana,Presidente Prudente,6,
3520707,Indiaporã,São José do Rio Preto,,7
3520806,Inúbia Paulista,Presidente Prudente,,11
3520905,Ipaussu,Bauru,,6
3521002,Iperó,Sorocaba,12,
3521101,Ipeúna,Piracicaba,11,
3521150,Ipiguá,São José do Rio Preto,,7
3521200,Iporanga,Vale do Ribeira,2,
3521309,Ipuã,Franca,,2
3521408,Iracemápolis,Piracicaba,11,
3521507,Irapuã,São José do Rio Preto,,8
3521606,Irapuru,Presidente Prudente,,11
3521705,Itaberá,Sorocaba,,6
3521804,Itaí,Bauru,,6
3521903,Itajobi,São José do Rio Preto,,8
3522000,Itaju,Bauru,,5
3522109,Itanhaém,Santos,3,
3522158,Itaóca,Sorocaba,2,
3522208,Itapecerica da Serra,Grande São Paulo II,,13
3522307,Itapetininga,Sorocaba,,6
3522406,Itapeva,Sorocaba,,6
3522505,Itapevi,Grande São Paulo II,,13
3522604,Itapira,Campinas,,14
3522653,Itapirapuã Paulista,Sorocaba,2,
3522703,Itápolis,Bauru,,8
3522802,Itaporanga,Sorocaba,,6
3522901,Itapuí,Bauru,,5
3523008,Itapura,Araçatuba,,9
3523107,Itaquaquecetuba,Grande São Paulo III,8,
3523206,Itararé,Sorocaba,,6
3523305,Itariri,Vale do Ribeira,2,
3523404,Itatiba,Campinas,9,
3523503,Itatinga,Bauru,,6
3523602,Itirapina,Piracicaba,11,
3523701,Itirapuã,Franca,,2
3523800,Itobi,Ribeirão Preto,5,
3523909,Itu,Sorocaba,12,
3524006,Itupeva,Campinas,9,
3524105,Ituverava,Franca,,2
3524204,Jaborandi,São José do Rio Preto,,4
3524303,Jaboticabal,Ribeirão Preto,,16
3524402,Jacareí,Taubaté,1,
3524501,Jaci,São José do Rio Preto,,7
3524600,Jacupiranga,Vale do Ribeira,2,
3524709,Jaguariúna,Campinas,9,
3524808,Jales,São José do Rio Preto,,9
3524907,Jambeiro,Taubaté,1,
3525003,Jandira,Grande São Paulo II,,13
3525102,Jardinópolis,Ribeirão Preto,5,
3525201,Jarinu,Campinas,10,
3525300,Jaú,Bauru,,5
3525409,Jeriquara,Franca,,2
3525508,Joanópolis,Campinas,10,
3525607,João Ramalho,Bauru,,11
3525706,José Bonifácio,São José do Rio Preto,,10
3525805,Júlio Mesquita,Araçatuba,,8
3525854,Jumirim,Sorocaba,12,
3525904,Jundiaí,Campinas,9,
3526001,Junqueirópolis,Presidente Prudente,,11
3526100,Juquiá,Vale do Ribeira,2,
3526209,Juquitiba,Grande São Paulo II,,13
