pj,url,municipio,ar,tem_pj
Santa Cruz das Palmeiras,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_santa_cruz_palmeiras,Santa Cruz das Palmeiras,Ribeirão Preto,Sim
Santa Rita do Passa Quatro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_santa_rita,Santa Rita do Passa Quatro,Ribeirão Preto,Sim
Santa Rosa de Viterbo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_santa_rosa,Santa Rosa de Viterbo,Ribeirão Preto,Sim
Serra Azul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_serra_azul,Serra Azul,Ribeirão Preto,Sim
Serrana,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_serrana,Serrana,Ribeirão Preto,Sim
Sertãozinho,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sertaozinho,Sertãozinho,Ribeirão Preto,Sim
São Carlos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sao_carlos,São Carlos,Ribeirão Preto,Sim
São José do Rio Pardo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sao_jose_pardo,São José do Rio Pardo,Ribeirão Preto,Sim
São Sebastião da Gama,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sao_sebastiao_grama,São Sebastião da Gama,Ribeirão Preto,Sim
São Simão,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sao_simao,São Simão,Ribeirão Preto,Sim
Taiúva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_taiuva,Taiúva,Ribeirão Preto,Sim
Tambaú,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_tambau,Tambaú,Ribeirão Preto,Sim
Taquaritinga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_taquaritinga,Taquaritinga,Ribeirão Preto,Sim
Viradouro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_viradouro,Viradouro,Ribeirão Preto,Sim
Altinópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_altinopolis,Altinópolis,Franca,Sim
Batatais,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_batatais,Batatais,Franca,Sim
Franca,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_franca,Franca,Franca,Sim
Guará,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_guara,Guará,Franca,Sim
Guaíra,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_guaira,Guaíra,Franca,Sim
Igarapava,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_igarapava,Igarapava,Franca,Sim
Ipuã,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_ipua,Ipuã,Franca,Sim
Ituverava,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_ituverava,Ituverava,Franca,Sim
Miguelópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_miguelopolis,Miguelópolis,Franca,Sim
Morro Agudo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_morro_agudo,Morro Agudo,Franca,Sim
Nuporanga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_nuporanga,Nuporanga,Franca,Sim
Orlândia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_orlandia,Orlândia,Franca,Sim
Patrocínio Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_patrocinio_paulista,Patrocínio Paulista,Franca,Sim
Pedregulho,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_pedregulho,Pedregulho,Franca,Sim
São Joaquim da Barra,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_franca/fra_sao_joaquim,São Joaquim da Barra,Franca,Sim
Americana,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_americana,Americana,Piracicaba,Sim
Araras,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_araras,Araras,Piracicaba,Sim
Brotas,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_brotas,Brotas,Piracicaba,Sim
Capivari,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_capivari,Capivari,Piracicaba,Sim
Cerquilho,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_cerquilho,Cerquilho,Piracicaba,Sim
Conchas,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/rel_piracicaba_conchas,Conchas,Piracicaba,Sim
Cordeirópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_cordeiropolis,Cordeirópolis,Piracicaba,Sim
Guareí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_guarei,Guareí,Piracicaba,Sim
Itirapina,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_itirapina,Itirapina,Piracicaba,Sim
Laranjal Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_laranjal_paulista,Laranjal Paulista,Piracicaba,Sim
Leme,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_leme,Leme,Piracicaba,Sim
Limeira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_limeira,Limeira,Piracicaba,Sim
Piracicaba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/rel_piracicaba_piracicaba,Piracicaba,Piracicaba,Sim
Rio Claro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_rio_claro,Rio Claro,Piracicaba,Sim
Rio das Pedras,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_rio_pedras,Rio das Pedras,Piracicaba,Sim
Santa Bárbara D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_sbarbara_oeste,Santa Bárbara D'Oeste,Piracicaba,Sim
São Pedro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/reg_piracicaba_sao_pedro,São Pedro,Piracicaba,Sim
Aguaí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_aguai,Aguaí,Campinas,Sim
Amparo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_amparo,Amparo,Campinas,Sim
Artur Nogueira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_artur_nogueira,Artur Nogueira,Campinas,Sim
Atibaia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_atibaia,Atibaia,Campinas,Sim
Bragança Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_braganca,Bragança Paulista,Campinas,Sim
Cajamar,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/gdspII_cajamar,Cajamar,Campinas,Sim
Campinas,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_campinas,Campinas,Campinas,Sim
Campo Limpo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_campo_limpo,Campo Limpo,Campinas,Sim
Conchal,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_conchal,Conchal,Campinas,Sim
Cosmópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_cosmopolis,Cosmópolis,Campinas,Sim
Espírito Santo do Pinhal,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_espirito_santo,Espírito Santo do Pinhal,Campinas,Sim
Hortolândia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_hortolandia,Hortolândia,Campinas,Sim
Indaiatuba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_indaiatuba,Indaiatuba,Campinas,Sim
Itapira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_itapira,Itapira,Campinas,Sim
Itatiba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_itatiba,Itatiba,Campinas,Sim
Itupeva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/camp_itupeva,Itupeva,Campinas,Sim
Jaguariúna,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_jaguariuna,Jaguariúna,Campinas,Sim
Jarinú,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_jarinu,Jarinú,Campinas,Sim
Jundiaí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_jundiai,Jundiaí,Campinas,Sim
Louveira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/camp_louveira,Louveira,Campinas,Sim
Mogi Guaçu,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_moji_guacu,Mogi Guaçu,Campinas,Sim
Mogi Mirim,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_moji_mirim,Mogi Mirim,Campinas,Sim
Monte-Mor,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/reg_piracicaba_monte_mor,Monte-Mor,Campinas,Sim
Nazaré Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_nazare_paulista,Nazaré Paulista,Campinas,Sim
Nova Odessa,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_nova_odessa,Nova Odessa,Campinas,Sim
Paulínia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_paulinia,Paulínia,Campinas,Sim
Pedreira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/pedreira,Pedreira,Campinas,Sim
Pinhalzinho,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_pinhalzinho,Pinhalzinho,Campinas,Sim
Piracaia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_piracaia,Piracaia,Campinas,Sim
Serra Negra,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_serra_negra,Serra Negra,Campinas,Sim
Socorro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_socorro,Socorro,Campinas,Sim
Sumaré,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_sumare,Sumaré,Campinas,Sim
São João da Boa Vista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_sao_joao,São João da Boa Vista,Campinas,Sim
Valinhos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_valinhos,Valinhos,Campinas,Sim
Vargem Grande do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_vargem_grande,Vargem Grande do Sul,Campinas,Sim
Vila Mimosa,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_vila_mimosa,Vila Mimosa,Campinas,Sim
Vinhedo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_vinhedo,Vinhedo,Campinas,Sim
Várzea Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_varzea_paulista,Várzea Paulista,Campinas,Sim
Águas de Lindóia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/cam_aguas_lindoia,Águas de Lindóia,Campinas,Sim
Aparecida,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_aparecida,Aparecida,Taubaté,Sim
Bananal,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_bananal,Bananal,Taubaté,Sim
Cachoeira Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_cachoeira_paulista,Cachoeira Paulista,Taubaté,Sim
Campos do Jordão,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_campos_jordao,Campos do Jordão,Taubaté,Sim
Caraguatatuba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_caraguatatuba,Caraguatatuba,Taubaté,Sim
Caçapava,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_cacapava,Caçapava,Taubaté,Sim
Cruzeiro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_cruzeiro,Cruzeiro,Taubaté,Sim
Cunha,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_cunha,Cunha,Taubaté,Sim
Guaratinguetá;,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_guaratingueta,Guaratinguetá;,Taubaté,Sim
Ilha Bela,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_ilhabela,Ilha Bela,Taubaté,Sim
Jacareí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_jacarei,Jacareí,Taubaté,Sim
Lorena,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_lorena,Lorena,Taubaté,Sim
Paraíbuna,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_paraibuna,Paraíbuna,Taubaté,Sim
Pindamonhangaba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_pindamonhangaba,Pindamonhangaba,Taubaté,Sim
Piquete,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_piquete,Piquete,Taubaté,Sim
Potim,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_potim,Potim,Taubaté,Sim
Queluz,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_queluz,Queluz,Taubaté,Sim
Roseira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_roseira,Roseira,Taubaté,Sim
Salesópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_salesopolis,Salesópolis,Taubaté,Sim
Santa Branca,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_santa_branca,Santa Branca,Taubaté,Sim
São Bento do Sapucaí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_sao_bento_sapucai,São Bento do Sapucaí,Taubaté,Sim
São José dos Campos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_sao_jose_campos,São José dos Campos,Taubaté,Sim
São Luis do Paraitinga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_sao_luiz_paraitinga,São Luis do Paraitinga,Taubaté,Sim
São Sebastião,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_sao_sebastiao,São Sebastião,Taubaté,Sim
Taubaté,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_taubate,Taubaté,Taubaté,Sim
Tremembé,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_tremembe,Tremembé,Taubaté,Sim
Ubatuba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_taubate/tau_ubatuba,Ubatuba,Taubaté,Sim
Angatuba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_angatuba,Angatuba,Sorocaba,Sim
Boituva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_boituva,Boituva,Sorocaba,Sim
Buri,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_buri,Buri,Sorocaba,Sim
Cabreúva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_cabreuva,Cabreúva,Sorocaba,Sim
Capela do Alto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_capela_do_alto,Capela do Alto,Sorocaba,Sim
Capão Bonito,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_capao_bonito,Capão Bonito,Sorocaba,Sim
Cesário Lange,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_cesariolange,Cesário Lange,Sorocaba,Sim
Guareí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_guarei,Guareí,Sorocaba,Sim
Ibiúna,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_ibiuna,Ibiúna,Sorocaba,Sim
Iperó,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_ipero,Iperó,Sorocaba,Sim
Itaberá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_itabera,Itaberá,Sorocaba,Sim
Itapetininga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_itapetininga,Itapetininga,Sorocaba,Sim
Itapeva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_itapeva,Itapeva,Sorocaba,Sim
Itaporanga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_itaporanga,Itaporanga,Sorocaba,Sim
Itararé,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_itarare,Itararé,Sorocaba,Sim
Itaí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/bau_itai,Itaí,Sorocaba,Sim
Itú,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_itu,Itú,Sorocaba,Sim
Mairinque,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_mairinque,Mairinque,Sorocaba,Sim
Paranapanema,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/bau_paranapanema,Paranapanema,Sorocaba,Sim
Piedade,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_piedade,Piedade,Sorocaba,Sim
Pilar do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_pilar_sul,Pilar do Sul,Sorocaba,Sim
Porangaba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_porangaba,Porangaba,Sorocaba,Sim
Porto Feliz,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_porto_feliz,Porto Feliz,Sorocaba,Sim
Salto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_salto,Salto,Sorocaba,Sim
Salto de Pirapora,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_salto_pirapora,Salto de Pirapora,Sorocaba,Sim
Sorocaba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_sorocaba,Sorocaba,Sorocaba,Sim
São Miguel Arcanjo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_sao_miguel_arcanjo,São Miguel Arcanjo,Sorocaba,Sim
São Roque,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_sao_roque,São Roque,Sorocaba,Sim
Taquarituba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/bau_taquarituba,Taquarituba,Sorocaba,Sim
Tatuí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_tatui,Tatuí,Sorocaba,Sim
Tiête,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/soro_tiete,Tiête,Sorocaba,Sim
Votorantim,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/sor_votorantim,Votorantim,Sorocaba,Sim
Arujá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/aruja,Arujá,Grande São Paulo,Sim
