id,nome
1,Núcleo ABC
2,Núcleo Araçatuba
3,Núcleo Bauru
4,Núcleo Campinas
5,Núcleo Capital
6,Núcleo Franca
7,Núcleo Guarulhos
8,Núcleo Piracicaba
9,Núcleo Presidente Prudente
10,Núcleo Ribeirão Preto
11,Núcleo Santos
12,Núcleo São José do Rio Preto
13,Núcleo Sorocaba
14,Núcleo Vale do Paraíba
