municipio,pj,url,ar,tem_pj
Meridiano,Fernandópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_fernandopolis,São José do Rio Preto,Não
Mesópolis,Jales,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jales,São José do Rio Preto,Não
Mira Estrela,Cardoso,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_cardoso,São José do Rio Preto,Não
Mirassolândia,Mirassol,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_mirassol,São José do Rio Preto,Não
Monções,Nhandeara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nhandeara,São José do Rio Preto,Não
Nipoã,Monte Aprazível,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_monte_aprazivel,São José do Rio Preto,Não
Nova Aliança,Potirendaba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_potirendaba,São José do Rio Preto,Não
Nova Canaã Paulista,Santa Fé do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_fe_sul,São José do Rio Preto,Não
Nova Castilho,General Salgado,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_general,São José do Rio Preto,Não
Nova Luzitânia,Nhandeara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nhandeara,São José do Rio Preto,Não
Novais,Tabapuã,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_tabapua,São José do Rio Preto,Não
Onda Verde,Nova Granada,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nova_granada,São José do Rio Preto,Não
Orindiúva,Paulo de Faria,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_paulo_faria,São José do Rio Preto,Não
Palmares Paulista,Santa Adélia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_adelia,São José do Rio Preto,Não
Paranapuã,Jales,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jales,São José do Rio Preto,Não
Parisi,Votuporanga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_votuporanga,São José do Rio Preto,Não
Pedranópolis,Fernadópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_fernandopolis,São José do Rio Preto,Não
Pindorama,Catanduva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_catanduva,São José do Rio Preto,Não
Poloni,Monte Aprazível,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_monte_aprazivel,São José do Rio Preto,Não
Pontalinda,Jales,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jales,São José do Rio Preto,Não
Pontes Gestal,Cardoso,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_cardoso,São José do Rio Preto,Não
Populina,Estrela D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_estrela_oeste,São José do Rio Preto,Não
Riolândia,Paulo de Faria,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_paulo_faria,São José do Rio Preto,Não
Rubinéia,Santa Fé do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_fe_sul,São José do Rio Preto,Não
Sales,Urupês,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_urupes,São José do Rio Preto,Não
Santa Albertina,Jales,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jales,São José do Rio Preto,Não
Santa Clara D'Oeste,Santa Fé do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_fe_sul,São José do Rio Preto,Não
Santa Rita D'Oeste,Santa Fé do SUl,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_fe_sul,São José do Rio Preto,Não
Santa Salete,Urânia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_urania,São José do Rio Preto,Não
Santana da Ponte Pensa,Santa Fé do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_fe_sul,São José do Rio Preto,Não
Sebastianópolis do Sul,Macaubal,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_macaubal,São José do Rio Preto,Não
Severínia,Olímpia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_olimpia,São José do Rio Preto,Não
São Francisco,Palmeira D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_palmeira_oeste,São José do Rio Preto,Não
São João das Duas Pontes,Estrela D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_estrela_oeste,São José do Rio Preto,Não
São João de Iracema,General Salgado,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_general,São José do Rio Preto,Não
Três Fronteiras,Santa Fé do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_fe_sul,São José do Rio Preto,Não
Turmalina,Estrela D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_estrela_oeste,São José do Rio Preto,Não
Ubarana,José Bonifácio,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jose_bonifacio,São José do Rio Preto,Não
Uchoa,São José do Rio Preto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_sao_jose,São José do Rio Preto,Não
